id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
960858,"New, Stylish & Luxury Studio Condo",3769704,Pat,,Sai Mai,13.9077,100.64473,Private room,,1,0,,,1,0,0,
969792,1 penthouse in central Bangkok,5297436,Anya,,Ratchathewi,13.75428,100.53329,Entire home/apt,,1,0,,,1,0,0,
973830,BangLuang House1 @ Bangkok Thailand,5325919,วสวัตติ์,,Bangkok Yai,13.73292,100.46413,Private room,1956,1,88,2024-08-07,0.63,3,308,8,
976690,Beautiful 1 BR apartment @BTS Ari,5344120,Nattavut,,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,30,90,2022-11-15,0.65,4,275,0,
978969,"60 m2 apartment in Thong Lor, Bangkok",5358785,Danny,,Vadhana,13.73224,100.57803,Entire home/apt,1695,4,6,2023-01-01,0.05,1,224,0,
988373,BangLuang House 2@ Bangkok Thailand,5325919,วสวัตติ์,,Phasi Charoen,13.73122,100.46228,Entire home/apt,2000,1,122,2024-08-24,0.87,3,319,16,
1016487,Private room in Bangkok,5594281,Yodying,,Chatu Chak,13.82148,100.58326,Private room,,30,0,,,1,0,0,
1019241,Chic two bedroom for Monthly rental,3323622,Phoebe,,Bang Rak,13.72687,100.52725,Entire home/apt,,30,102,2020-02-20,0.74,1,0,0,
1026451,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",3346331,Bee,,Sathon,13.71192,100.51535,Entire home/apt,750,2,533,2024-09-20,3.85,7,258,32,
1028469,One Bedroom Suite- WIFI- SATHORN,2148220,Marvin,,Sathon,13.71602,100.52663,Private room,2278,1,0,,,4,267,0,
1028486,STUDIO RM2 - WIFI- SATHORN,2148220,Marvin,,Sathon,13.71711,100.52776,Private room,1472,1,4,2014-11-12,0.03,4,267,0,
1035351,Room for Group stay 4pax,4115838,Primrose,,Thawi Watthana,13.79318,100.33369,Private room,3500,1,0,,,6,365,0,
1035589,Double  Bed Apartment,4115838,Primrose,,Thawi Watthana,13.79274,100.33377,Private room,2000,2,2,2023-10-11,0.09,6,328,1,
1035640,Double Bed Apartment,4115838,Primrose,,Thawi Watthana,13.79315,100.33356,Private room,2140,2,1,2023-07-08,0.07,6,365,0,
1041976,"Newly renovated tranquil w/ a free transfer, Siam",5735895,Pariya,,Parthum Wan,13.74814,100.52016,Entire home/apt,3171,3,323,2024-09-03,2.40,2,320,28,
1052180,"City View, relaxed theme & delicious food around",5793490,Nicky,,Bang Kho laen,13.69947,100.52726,Entire home/apt,950,2,44,2024-09-16,0.34,6,180,10,
1057173,"IdeoMix, Sukhumvit RD, close to BTS",5822937,Piya,,Bang Na,13.67951,100.60935,Entire home/apt,999,5,182,2024-08-14,1.38,1,204,10,
1067748,5 mins by car from Chong Nonsi BTS Station,4154759,Mimi,,Sathon,13.71498,100.53312,Entire home/apt,1300,1,50,2024-08-25,0.46,5,96,9,
1079039,Spacious 1Bed apartment,5935474,Tisa,,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,,,1,180,0,
1086843,Near Bangkok more space than urban!,4937984,Sugarcane,,Phra Nakhon,13.75301,100.4943,Shared room,,1,0,,,1,0,0,
1088343,"On Nut BTS, 2 bed 2 bath, Big C, Lotus",5981006,Sibyl,,Vadhana,13.7104,100.60171,Entire home/apt,2869,30,17,2020-01-04,0.13,1,365,0,
1094136,"Private, relaxed with amenities",5793490,Nicky,,Bang Kho laen,13.69949,100.52725,Entire home/apt,1030,2,29,2024-04-15,0.24,6,167,7,
1103074,2BR - PRIME 11 Condo ✰Sukhumvit  11,5068603,Dean,,Vadhana,13.72548,100.60012,Entire home/apt,,1,1,2013-07-18,0.01,2,365,0,
1133843,เฮ้าส์โหมด House Mode,6220137,Prapussorn,,Thon buri,13.72646255738608,100.49129336748284,Private room,,1,0,,,1,0,0,
